2014-10-29 15:47:14,;.?40490600843,;.? insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, time, message, machine_no, line_id) values (%d, '40490600843', 1, 2, 'DFT STRAT', 39.9, 'a 01 OK00x , OKx , b 01 OK10x , f 01 OK64x', 1, 650033) 
2014-10-29 15:47:50,;.?40490600843,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600843', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,0,2,2',22.7,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-29 15:49:06,;.?40490600843,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600843', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,0,2,2',60.9,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-29 15:53:27,;.?40490600856,;.? insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, time, message, machine_no, line_id) values (%d, '40490600856', 1, 2, 'DFT STRAT', 24.0, '-', 1, 650033) 
2014-10-29 15:54:59,;.?40490600856,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600856', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,396,3,111',24.5,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-29 15:55:50,;.?40490600856,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600856', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,396,3,111',22.4,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-29 16:28:33,;.?40490600911,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600911', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,396,3,108',215.8,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-29 16:30:28,;.?40490600911,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600911', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,396,3,109',105.8,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-29 18:00:24,;.?40490600973,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40490600973', 1, 5, '[RF] E/P Audio Test', 'NG/A','400, 400, X, X','0,396,3,109',49.5,'s 01 OK50x , [A/NG]', 1, 650033) 
2014-10-29 18:19:18,;.?40490600908,;.? insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, time, message, machine_no, line_id) values (%d, '40490600908', 1, 2, 'DFT STRAT', 31.9, '-', 1, 650033) 
2014-10-29 18:21:16,;.?40490600908,;.? insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, time, message, machine_no, line_id) values (%d, '40490600908', 1, 2, 'DFT STRAT', 82.9, '-', 1, 650033) 
2014-10-29 18:24:36,;.?40490600932,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600932', 1, 22, 'USB1 TEST', 'NG',45.0,'b 01 OK20x , NG 1 4 ', 1, 650033) 
2014-10-30 07:06:19,;.?40439700001,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700001', 1, 5, '[TV] TV check', 'NG/V', -97.1, 0.0, -40.0, 40.0, '400, 400, X, X','396,396,952,934', 24.3, 'Good:14.5 | Error:0.00/0.00/0.000/0.000/85.460 , [A/OK]', 1, 650033) 
2014-10-30 08:07:10,;.?40439700006,;.? insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, time, message, machine_no, line_id) values (%d, '40439700006', 1, 2, 'DFT STRAT', 15.4, 'a 00 OK00x', 1, 650033) 
2014-10-30 08:11:26,;.?40439700013,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700013', 1, 1, 'B+ Voltage Check', 'NG', 0.0, 12.0, 11.0, 13.0, '','', 77.0, 'T:12.000000,  M:0.000000', 1, 650033) 
